epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,433.915,0.60935,0.87755,0.36062,0.90997,0.9873,0.9704,0.98607,0.86009,0.97933,0.95624,0.9673,0.79668,0.53184,0.70725,0.30061,0.90565,0.0014258,0.0014258,0.0014258
31,448.623,0.608,0.85238,0.35457,0.90745,0.97849,0.98069,0.987,0.8598,0.97639,0.95805,0.97685,0.80658,0.56422,0.72173,0.31141,0.90405,0.001406,0.001406,0.001406
32,462.618,0.6088,0.85878,0.36118,0.90809,0.97896,0.97812,0.98769,0.87127,0.97849,0.95367,0.97757,0.78941,0.53403,0.70058,0.29921,0.90115,0.0013862,0.0013862,0.0013862
33,476.496,0.59978,0.87212,0.35324,0.90444,0.97067,0.97956,0.98794,0.8695,0.98258,0.94723,0.9737,0.80527,0.54198,0.73128,0.29691,0.90202,0.0013664,0.0013664,0.0013664
34,490.516,0.60303,0.86632,0.35468,0.90402,0.98101,0.96396,0.98359,0.85096,0.97048,0.93694,0.95473,0.80458,0.57152,0.7854,0.30409,0.91439,0.0013466,0.0013466,0.0013466
35,504.305,0.59399,0.86944,0.3475,0.90281,0.98518,0.97555,0.98744,0.87872,0.98278,0.94852,0.97288,0.81038,0.52904,0.72494,0.29293,0.89963,0.0013268,0.0013268,0.0013268
36,518.292,0.60296,0.85649,0.34929,0.90549,0.98346,0.97555,0.98671,0.87629,0.97911,0.96535,0.97791,0.82452,0.52834,0.72556,0.28605,0.89868,0.001307,0.001307,0.001307
37,532.144,0.59482,0.85238,0.34538,0.90095,0.97712,0.97941,0.98678,0.87232,0.9795,0.94595,0.97603,0.79251,0.54746,0.6908,0.2879,0.90497,0.0012872,0.0012872,0.0012872
38,546.003,0.5899,0.84388,0.34481,0.90102,0.97063,0.97838,0.98771,0.85977,0.97753,0.95202,0.96948,0.78171,0.5606,0.70443,0.30074,0.90374,0.0012674,0.0012674,0.0012674
39,559.794,0.58724,0.83766,0.34446,0.89926,0.97316,0.97985,0.98712,0.85955,0.9762,0.95031,0.96319,0.76899,0.5612,0.76251,0.29254,0.90488,0.0012476,0.0012476,0.0012476
40,574.583,0.5905,0.8424,0.34343,0.90247,0.97448,0.97941,0.98812,0.88415,0.9774,0.94625,0.97261,0.81203,0.5098,0.6991,0.27993,0.89537,0.0012278,0.0012278,0.0012278
41,588.587,0.59301,0.84941,0.34277,0.90174,0.97951,0.97683,0.98644,0.86543,0.97625,0.95244,0.96887,0.80246,0.53699,0.74132,0.28541,0.89803,0.001208,0.001208,0.001208
42,602.515,0.59405,0.86478,0.34533,0.90248,0.97555,0.97578,0.98661,0.862,0.97368,0.95216,0.96781,0.79192,0.54318,0.75764,0.29919,0.90004,0.0011882,0.0011882,0.0011882
43,616.349,0.58735,0.82852,0.34045,0.9008,0.97974,0.97941,0.98722,0.88168,0.97628,0.95365,0.97206,0.80763,0.51927,0.68513,0.28101,0.89635,0.0011684,0.0011684,0.0011684
44,630.091,0.58646,0.86112,0.33646,0.89801,0.97141,0.98713,0.9881,0.87132,0.98139,0.95038,0.97123,0.81347,0.5398,0.71047,0.29052,0.9,0.0011486,0.0011486,0.0011486
45,643.948,0.57783,0.84521,0.33628,0.89862,0.98066,0.97875,0.98816,0.87194,0.98665,0.96268,0.97469,0.81252,0.54238,0.65346,0.27771,0.8995,0.0011288,0.0011288,0.0011288
46,658.541,0.58606,0.83846,0.33588,0.9014,0.97334,0.98662,0.98639,0.87297,0.97931,0.95238,0.9695,0.79529,0.52562,0.63143,0.28249,0.89815,0.001109,0.001109,0.001109
47,672.945,0.57429,0.82211,0.33587,0.8972,0.98443,0.97667,0.98778,0.88822,0.97398,0.96347,0.9741,0.83369,0.49914,0.70659,0.27295,0.89491,0.0010892,0.0010892,0.0010892
48,686.993,0.57714,0.83686,0.32986,0.89534,0.96327,0.98327,0.98692,0.87885,0.97858,0.93436,0.96452,0.81697,0.51915,0.68077,0.27199,0.89763,0.0010694,0.0010694,0.0010694
49,700.709,0.58269,0.84143,0.3366,0.9014,0.95958,0.98456,0.98762,0.88473,0.98105,0.93281,0.97046,0.80906,0.53301,0.69701,0.27771,0.89737,0.0010496,0.0010496,0.0010496
50,714.58,0.57744,0.83338,0.3312,0.90112,0.97568,0.98122,0.98816,0.87176,0.97495,0.95169,0.97071,0.79395,0.52779,0.69647,0.2779,0.89906,0.0010298,0.0010298,0.0010298
51,728.72,0.58375,0.83908,0.33427,0.89906,0.97551,0.97386,0.98726,0.87019,0.9775,0.94595,0.96675,0.79669,0.52891,0.69316,0.28111,0.89749,0.00101,0.00101,0.00101
52,742.78,0.57667,0.82863,0.3296,0.89744,0.98052,0.97175,0.9877,0.88554,0.97855,0.93947,0.96381,0.79898,0.49087,0.72209,0.26416,0.89335,0.0009902,0.0009902,0.0009902
53,756.354,0.5662,0.82417,0.32585,0.89688,0.98065,0.97822,0.98708,0.88868,0.98428,0.94208,0.97241,0.80522,0.50545,0.68701,0.27291,0.89309,0.0009704,0.0009704,0.0009704
54,770.014,0.56757,0.82824,0.32543,0.89628,0.97409,0.98584,0.98908,0.87634,0.97999,0.95624,0.97494,0.82754,0.55885,0.75073,0.27535,0.90214,0.0009506,0.0009506,0.0009506
55,783.92,0.56353,0.82296,0.32482,0.89594,0.9732,0.98456,0.98773,0.89243,0.98131,0.94606,0.97398,0.81478,0.50636,0.68557,0.26776,0.89351,0.0009308,0.0009308,0.0009308
56,797.608,0.56309,0.8104,0.32549,0.89318,0.97454,0.98327,0.98837,0.88848,0.97639,0.95803,0.9753,0.81898,0.50083,0.62355,0.26201,0.89409,0.000911,0.000911,0.000911
57,811.776,0.56414,0.81082,0.32183,0.89621,0.97774,0.97555,0.98832,0.88647,0.97744,0.94783,0.97241,0.81961,0.5117,0.69863,0.26716,0.89529,0.0008912,0.0008912,0.0008912
58,825.497,0.56462,0.80571,0.32055,0.89472,0.97184,0.97704,0.98829,0.89007,0.98113,0.93662,0.96717,0.82563,0.50358,0.68594,0.26447,0.89302,0.0008714,0.0008714,0.0008714
59,839.168,0.55589,0.79219,0.31833,0.89198,0.97555,0.97556,0.98757,0.88553,0.9822,0.95238,0.97312,0.82034,0.50545,0.68391,0.27108,0.89233,0.0008516,0.0008516,0.0008516
60,852.877,0.56142,0.82409,0.31738,0.89478,0.97071,0.98098,0.98861,0.88962,0.98134,0.94736,0.97368,0.83063,0.51691,0.68092,0.26221,0.89448,0.0008318,0.0008318,0.0008318
61,866.684,0.56467,0.8082,0.31919,0.89564,0.96907,0.98584,0.98862,0.88975,0.98195,0.95367,0.97367,0.80909,0.4979,0.64838,0.26148,0.89114,0.000812,0.000812,0.000812
62,880.495,0.55856,0.79611,0.31429,0.89158,0.96955,0.98069,0.98865,0.89155,0.98665,0.95097,0.97442,0.82246,0.49364,0.69533,0.26683,0.89139,0.0007922,0.0007922,0.0007922
63,894.377,0.55809,0.82251,0.31548,0.89467,0.96961,0.98584,0.98811,0.88285,0.97973,0.93311,0.95797,0.78184,0.51326,0.62271,0.2653,0.89185,0.0007724,0.0007724,0.0007724
64,908.279,0.56237,0.81604,0.31763,0.89479,0.97553,0.97812,0.98763,0.88568,0.98004,0.93565,0.96292,0.8061,0.4983,0.61959,0.26493,0.89073,0.0007526,0.0007526,0.0007526
65,922.166,0.5645,0.82083,0.31702,0.89321,0.97073,0.98175,0.98828,0.88577,0.98156,0.95367,0.9731,0.83532,0.50467,0.63228,0.25655,0.89343,0.0007328,0.0007328,0.0007328
66,936.158,0.54851,0.79879,0.31248,0.89297,0.95983,0.98406,0.98792,0.87869,0.97711,0.95109,0.9736,0.81619,0.53849,0.67145,0.26802,0.89735,0.000713,0.000713,0.000713
67,949.839,0.56772,0.80236,0.31534,0.89696,0.96952,0.98239,0.98767,0.89177,0.97528,0.94466,0.96268,0.82835,0.49424,0.68597,0.25836,0.89335,0.0006932,0.0006932,0.0006932
68,963.679,0.55449,0.8215,0.31109,0.89422,0.96837,0.98505,0.98851,0.89777,0.98155,0.94466,0.97369,0.81674,0.48619,0.65618,0.25352,0.88937,0.0006734,0.0006734,0.0006734
69,977.396,0.55181,0.77857,0.3123,0.89105,0.97432,0.97646,0.98784,0.87778,0.98508,0.93822,0.95625,0.77991,0.51888,0.64631,0.26377,0.89438,0.0006536,0.0006536,0.0006536
70,991.492,0.55294,0.79277,0.3124,0.89198,0.96661,0.98713,0.9892,0.88029,0.97875,0.94853,0.9687,0.79567,0.49371,0.63579,0.25703,0.8923,0.0006338,0.0006338,0.0006338
71,1005.28,0.55572,0.78419,0.30991,0.89511,0.9696,0.98533,0.98865,0.89209,0.9762,0.94208,0.96837,0.81139,0.50378,0.64885,0.26161,0.89117,0.000614,0.000614,0.000614
